#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_25:753677-754075 -            133 35931at4891          -            113   3.9e-58  191.6   0.1   1   1   1.2e-58   3.1e-56  185.5   0.1     3   113     1   133     1   133 0.92 -
contig_16:888373-888789   -            139 35931at4891          -            113   6.4e-08   29.9   0.1   1   1   2.3e-09   6.2e-07   26.7   0.1    30    83    16    74     6   113 0.75 -
contig_16:949208-949606   -            133 35931at4891          -            113   1.2e-07   29.0   0.1   1   1   2.8e-09   7.5e-07   26.4   0.1    36    81    16    66     3   105 0.73 -
contig_38:407474-407872   -            133 35931at4891          -            113     2e-07   28.3   0.1   1   1   4.7e-09   1.3e-06   25.7   0.1    36    81    16    66     3   105 0.72 -
contig_23:132461-132868   -            136 35931at4891          -            113   2.2e-07   28.1   0.2   1   1   9.5e-09   2.5e-06   24.7   0.2    29   100    21   109     9   121 0.73 -
scaffold_25:706002-706496 -            165 35931at4891          -            113     2e-06   25.1   0.0   1   1   2.4e-08   6.5e-06   23.4   0.0    36    79    33    81    21   125 0.83 -
contig_16:707872-708516   -            215 35931at4891          -            113    0.0002   18.6   0.0   1   2   3.1e-06   0.00082   16.6   0.0    22    82    20    83     1   125 0.79 -
contig_16:707872-708516   -            215 35931at4891          -            113    0.0002   18.6   0.0   2   2       1.2   3.2e+02   -1.4   0.0    11    29   151   169   146   176 0.82 -
contig_12:444688-445305   -            206 35931at4891          -            113    0.0013   16.0   0.0   1   1   8.5e-06    0.0023   15.2   0.0    35    84    26    80    11    89 0.85 -
contig_16:1167358-1167792 -            145 35931at4891          -            113    0.0034   14.7   0.0   1   1   5.1e-05     0.014   12.7   0.0    33    72    23    67    15   118 0.84 -
contig_2:599738-600223    -            162 35931at4891          -            113    0.0045   14.3   0.0   1   2   9.6e-05     0.026   11.8   0.0     6    75     4    75     1    85 0.79 -
contig_2:599738-600223    -            162 35931at4891          -            113    0.0045   14.3   0.0   2   2      0.41   1.1e+02    0.1   0.0    80   101   105   126    98   136 0.81 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-52-2022/De_novo_assembly/06_Busco/busco_downloads/lineages/saccharomycetes_odb10/hmms/35931at4891.hmm
# Target file:     /home/inf-52-2022/De_novo_assembly/06_Busco/output/flye.assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/flye.assembly.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-52-2022/De_novo_assembly/06_Busco/output/flye.assembly.fasta/run_saccharomycetes_odb10/hmmer_output/initial_run_results/35931at4891.out --cpu 1 /home/inf-52-2022/De_novo_assembly/06_Busco/busco_downloads/lineages/saccharomycetes_odb10/hmms/35931at4891.hmm /home/inf-52-2022/De_novo_assembly/06_Busco/output/flye.assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/flye.assembly.fasta.modified.fas 
# Current dir:     /home/inf-52-2022/De_novo_assembly/06_Busco
# Date:            Fri Feb 24 09:20:56 2023
# [ok]
