#                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_3:209938-213024  -           1029 1426at4891           -            701  7.7e-281  930.7  17.5   1   4   2.6e-12   1.4e-09   34.1   0.1    22   104    66   172    61   203 0.81 -
contig_3:209938-213024  -           1029 1426at4891           -            701  7.7e-281  930.7  17.5   2   4   3.1e-13   1.7e-10   37.2   0.1   109   173   238   321   184   359 0.73 -
contig_3:209938-213024  -           1029 1426at4891           -            701  7.7e-281  930.7  17.5   3   4   2.6e-11   1.4e-08   30.8   2.2   177   256   364   465   339   482 0.77 -
contig_3:209938-213024  -           1029 1426at4891           -            701  7.7e-281  930.7  17.5   4   4  3.6e-255    2e-252  836.8   1.1   295   701   616  1029   596  1029 0.97 -
contig_34:188120-190018 -            633 1426at4891           -            701     3e-39  132.2   0.0   1   2   3.7e-19     2e-16   56.8   0.0   330   507   217   402   201   408 0.84 -
contig_34:188120-190018 -            633 1426at4891           -            701     3e-39  132.2   0.0   2   2   3.8e-24   2.1e-21   73.2   0.0   534   699   458   631   452   633 0.81 -
contig_5:668282-670144  -            621 1426at4891           -            701   3.3e-24   82.5   0.3   1   1     9e-27   4.8e-24   81.9   0.3   326   699   227   619   218   621 0.81 -
contig_5:666695-670144  -           1062 1426at4891           -            701   1.2e-23   80.6   0.3   1   1   3.5e-26   1.9e-23   80.0   0.3   326   699   668  1060   660  1062 0.81 -
contig_10:674034-678359 -           1442 1426at4891           -            701   0.00042   16.0   0.1   1   1   1.3e-06   0.00069   15.3   0.1   123   165   218   260   149   296 0.80 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-52-2022/De_novo_assembly/06_Busco/busco_downloads/lineages/saccharomycetes_odb10/hmms/1426at4891.hmm
# Target file:     /home/inf-52-2022/De_novo_assembly/06_Busco/output/flye.assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/flye.assembly.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-52-2022/De_novo_assembly/06_Busco/output/flye.assembly.fasta/run_saccharomycetes_odb10/hmmer_output/initial_run_results/1426at4891.out --cpu 1 /home/inf-52-2022/De_novo_assembly/06_Busco/busco_downloads/lineages/saccharomycetes_odb10/hmms/1426at4891.hmm /home/inf-52-2022/De_novo_assembly/06_Busco/output/flye.assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/flye.assembly.fasta.modified.fas 
# Current dir:     /home/inf-52-2022/De_novo_assembly/06_Busco
# Date:            Fri Feb 24 09:20:55 2023
# [ok]
