# BUSCO version is: 5.4.4 
# The lineage dataset is: saccharomycetes_odb10 (Creation date: 2020-08-05, number of genomes: 76, number of BUSCOs: 2137)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at4891	Complete	scaffold_37	328678	343407	-	4422.4	3519	https://www.orthodb.org/v10?query=0at4891	Midasin
6at4891	Complete	contig_34	304143	315377	+	4252.1	2957	https://www.orthodb.org/v10?query=6at4891	PIK-related kinase
23at4891	Complete	scaffold_37	39686	49117	-	2474.5	2193	https://www.orthodb.org/v10?query=23at4891	Vacuolar protein sorting-associated protein
42at4891	Complete	contig_10	154367	161005	-	3449.4	1774	https://www.orthodb.org/v10?query=42at4891	Carbamoyl-phosphate synthase small subunit, N-terminal domain
50at4891	Complete	scaffold_37	286540	295401	-	1717.7	1698	https://www.orthodb.org/v10?query=50at4891	Protein CSF1
61at4891	Complete	contig_16	145940	155743	-	2068.3	1936	https://www.orthodb.org/v10?query=61at4891	E3 ubiquitin ligase, domain of unknown function DUF908
85at4891	Complete	contig_34	431091	438332	-	3299.1	1836	https://www.orthodb.org/v10?query=85at4891	Pre-mRNA-processing-splicing factor 8
86at4891	Complete	contig_21	655495	662193	-	3355.2	1831	https://www.orthodb.org/v10?query=86at4891	Acetyl-CoA carboxylase
93at4891	Complete	scaffold_25	960943	968958	-	2038.9	1599	https://www.orthodb.org/v10?query=93at4891	protein kinase regulator activity
95at4891	Complete	contig_16	1349786	1356220	+	3250.4	1793	https://www.orthodb.org/v10?query=95at4891	Glutamate synthase
115at4891	Complete	contig_13	96039	102902	-	1745.3	1463	https://www.orthodb.org/v10?query=115at4891	transcriptional activator leucine zipper
145at4891	Complete	contig_38	303582	310685	-	1239.4	1233	https://www.orthodb.org/v10?query=145at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
154at4891	Complete	contig_38	744583	752943	+	356.4	243	https://www.orthodb.org/v10?query=154at4891	Serine/threonine-protein kinase Tel1
170at4891	Complete	contig_21	149085	155741	+	2382.8	1637	https://www.orthodb.org/v10?query=170at4891	DNA polymerase epsilon catalytic subunit
216at4891	Complete	scaffold_37	699591	705290	-	1390.6	1038	https://www.orthodb.org/v10?query=216at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
227at4891	Complete	scaffold_25	999258	1004192	+	2559.9	1454	https://www.orthodb.org/v10?query=227at4891	Clathrin heavy chain
245at4891	Complete	contig_23	125288	130276	-	2452.6	1386	https://www.orthodb.org/v10?query=245at4891	DNA-directed RNA polymerase subunit
274at4891	Complete	contig_39	107867	114001	+	2846.2	1638	https://www.orthodb.org/v10?query=274at4891	Fatty acid synthase
300at4891	Complete	contig_3	181638	188006	+	1278.7	899	https://www.orthodb.org/v10?query=300at4891	Phosphatidylinositol-4-phosphate 5-kinase, core
331at4891	Complete	contig_10	195158	200464	-	1281.5	1386	https://www.orthodb.org/v10?query=331at4891	BP28, C-terminal domain
364at4891	Complete	contig_16	816351	821114	-	1880.6	1240	https://www.orthodb.org/v10?query=364at4891	Pentafunctional AROM polypeptide
365at4891	Complete	contig_16	1294884	1300058	+	2554.8	1450	https://www.orthodb.org/v10?query=365at4891	DNA-directed RNA polymerase subunit
369at4891	Complete	contig_39	508516	513105	-	1371.1	923	https://www.orthodb.org/v10?query=369at4891	Phospholipase
394at4891	Complete	contig_7	295168	301434	+	1255.7	1104	https://www.orthodb.org/v10?query=394at4891	CCR4-NOT transcription complex subunit 1, HEAT repeat 1
414at4891	Complete	contig_23	541602	545981	+	2266.5	1199	https://www.orthodb.org/v10?query=414at4891	DNA-directed RNA polymerase subunit
419at4891	Complete	contig_23	474611	478264	+	2194.3	1056	https://www.orthodb.org/v10?query=419at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
425at4891	Complete	contig_5	586680	590288	-	1903.7	992	https://www.orthodb.org/v10?query=425at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
431at4891	Complete	contig_38	342427	346602	+	1768.7	1066	https://www.orthodb.org/v10?query=431at4891	L-aminoadipate-semialdehyde dehydrogenase
443at4891	Complete	contig_10	679641	684392	+	1109.3	841	https://www.orthodb.org/v10?query=443at4891	Vacuolar membrane-associated protein IML1
455at4891	Complete	scaffold_25	372365	376714	-	1042.8	1058	https://www.orthodb.org/v10?query=455at4891	Transcription elongation factor Spt6
468at4891	Complete	contig_2	340281	345248	+	1567.6	1022	https://www.orthodb.org/v10?query=468at4891	P-type ATPase
469at4891	Complete	contig_5	99699	104177	-	640.0	908	https://www.orthodb.org/v10?query=469at4891	Rho GTPase activation protein
471at4891	Complete	contig_12	100814	107308	+	842.8	1015	https://www.orthodb.org/v10?query=471at4891	Ras guanine nucleotide exchange factor domain superfamily
510at4891	Complete	contig_16	380537	384199	-	1193.5	943	https://www.orthodb.org/v10?query=510at4891	Protein MSN5
514at4891	Complete	contig_34	37860	43445	+	1487.6	1392	https://www.orthodb.org/v10?query=514at4891	Proteasome component ECM29
515at4891	Complete	contig_12	73867	78270	-	1583.5	987	https://www.orthodb.org/v10?query=515at4891	Chromo domain
519at4891	Complete	contig_38	573432	580907	-	1806.5	1723	https://www.orthodb.org/v10?query=519at4891	Armadillo-type fold
528at4891	Complete	scaffold_25	481153	485226	+	1774.7	1026	https://www.orthodb.org/v10?query=528at4891	PurM-like, C-terminal domain
535at4891	Duplicated	contig_12	205298	209449	+	731.4	828	https://www.orthodb.org/v10?query=535at4891	Nucleoporin-domain-containing protein
535at4891	Duplicated	contig_38	724222	728445	-	846.5	863	https://www.orthodb.org/v10?query=535at4891	Nucleoporin-domain-containing protein
540at4891	Complete	contig_2	839959	844623	+	1063.5	1254	https://www.orthodb.org/v10?query=540at4891	Nucleoporin Nup188
569at4891	Complete	contig_5	241655	246130	-	1120.5	857	https://www.orthodb.org/v10?query=569at4891	DNA polymerase
578at4891	Complete	contig_16	457945	462015	-	899.9	984	https://www.orthodb.org/v10?query=578at4891	pre-mRNA 3'-end processing factor CF II
594at4891	Complete	contig_23	357808	361245	+	1921.2	972	https://www.orthodb.org/v10?query=594at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
630at4891	Complete	contig_16	721977	727349	+	1767.2	1265	https://www.orthodb.org/v10?query=630at4891	Sec7, C-terminal
631at4891	Complete	contig_4	120454	124434	+	1692.0	930	https://www.orthodb.org/v10?query=631at4891	P-type ATPase
652at4891	Complete	contig_21	311624	316711	+	864.9	894	https://www.orthodb.org/v10?query=652at4891	Anaphase-promoting complex (APC), subunit 1 (meiotic check point regulator/Tsg24)
662at4891	Complete	contig_10	30110	36073	-	611.1	983	https://www.orthodb.org/v10?query=662at4891	Armadillo-type fold
665at4891	Complete	contig_16	1307269	1310865	+	1622.8	980	https://www.orthodb.org/v10?query=665at4891	Coatomer subunit alpha
676at4891	Complete	contig_12	483310	486936	-	1623.4	957	https://www.orthodb.org/v10?query=676at4891	P-type ATPase
692at4891	Complete	contig_2	193123	198288	+	1419.1	1263	https://www.orthodb.org/v10?query=692at4891	nucleic acid-binding protein
693at4891	Duplicated	contig_21	681525	686252	-	1035.4	878	https://www.orthodb.org/v10?query=693at4891	MAP kinase kinase kinase
693at4891	Duplicated	contig_7	256919	260728	-	983.5	861	https://www.orthodb.org/v10?query=693at4891	MAP kinase kinase kinase
695at4891	Complete	contig_10	624661	628011	-	1669.5	890	https://www.orthodb.org/v10?query=695at4891	Carbamoyl-phosphate synthase arginine-specific large chain
707at4891	Complete	scaffold_25	409671	414557	+	261.3	337	https://www.orthodb.org/v10?query=707at4891	Separin
721at4891	Complete	contig_3	53962	58014	+	1187.4	918	https://www.orthodb.org/v10?query=721at4891	DNA-directed RNA polymerase
722at4891	Complete	contig_23	583297	588237	+	964.5	967	https://www.orthodb.org/v10?query=722at4891	Acetyl-CoA synthetase-like protein
730at4891	Complete	contig_16	1225281	1228571	-	1468.5	857	https://www.orthodb.org/v10?query=730at4891	DNA polymerase
746at4891	Complete	scaffold_37	898981	902283	+	1351.4	740	https://www.orthodb.org/v10?query=746at4891	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
751at4891	Complete	contig_38	719704	722919	+	1668.9	922	https://www.orthodb.org/v10?query=751at4891	Aminoacyl-tRNA synthetase, class Ia
811at4891	Complete	contig_23	147965	151213	+	1203.8	804	https://www.orthodb.org/v10?query=811at4891	DNA polymerase gamma
845at4891	Complete	scaffold_37	850240	854235	-	1332.7	1007	https://www.orthodb.org/v10?query=845at4891	Elongator complex protein 1
863at4891	Complete	contig_13	112396	115434	+	1630.7	851	https://www.orthodb.org/v10?query=863at4891	2-oxoglutarate dehydrogenase E1 component
869at4891	Complete	contig_5	130835	134422	+	1591.3	850	https://www.orthodb.org/v10?query=869at4891	ABC transporter, conserved site
960at4891	Duplicated	contig_21	607138	610269	+	1731.9	911	https://www.orthodb.org/v10?query=960at4891	Elongation factor 3
960at4891	Duplicated	scaffold_37	598439	601570	+	1712.3	912	https://www.orthodb.org/v10?query=960at4891	Elongation factor 3
962at4891	Complete	contig_23	142154	145027	+	1434.7	811	https://www.orthodb.org/v10?query=962at4891	Alanine--tRNA ligase
982at4891	Complete	contig_2	283628	286684	-	1253.7	757	https://www.orthodb.org/v10?query=982at4891	Glycine cleavage system P protein
986at4891	Complete	contig_5	407542	413142	-	2091.6	1394	https://www.orthodb.org/v10?query=986at4891	SNF2-related, N-terminal domain
1006at4891	Complete	contig_5	553723	557229	+	1267.8	904	https://www.orthodb.org/v10?query=1006at4891	Niemann-Pick C1, N-terminal
1011at4891	Complete	contig_21	458525	462766	+	1628.6	954	https://www.orthodb.org/v10?query=1011at4891	DNA topoisomerase 2
1037at4891	Complete	contig_21	430934	435334	+	1327.1	927	https://www.orthodb.org/v10?query=1037at4891	DNA polymerase
1038at4891	Complete	contig_23	527237	530920	+	675.7	714	https://www.orthodb.org/v10?query=1038at4891	Ubiquitin specific protease, conserved site
