#                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_5:548504-551041 -            846 5746at4891           -            500    1e-159  529.6  30.6   1   4   1.9e-05     0.025   10.4   0.7     8    40    73   112    65   127 0.68 -
contig_5:548504-551041 -            846 5746at4891           -            500    1e-159  529.6  30.6   2   4   6.9e-26   9.2e-23   77.8   0.0    52   123   216   297   181   307 0.84 -
contig_5:548504-551041 -            846 5746at4891           -            500    1e-159  529.6  30.6   3   4   5.1e-51   6.8e-48  160.7   6.3   114   266   310   494   298   498 0.85 -
contig_5:548504-551041 -            846 5746at4891           -            500    1e-159  529.6  30.6   4   4   2.5e-87   3.4e-84  280.5   6.9   265   500   516   827   505   827 0.81 -
contig_12:54337-56580  -            748 5746at4891           -            500   9.4e-36  120.7  10.0   1   5   8.1e-08   0.00011   18.2   0.0    52   118    61   136    49   147 0.74 -
contig_12:54337-56580  -            748 5746at4891           -            500   9.4e-36  120.7  10.0   2   5   2.1e-10   2.8e-07   26.7   1.4   120   234   166   290   150   308 0.80 -
contig_12:54337-56580  -            748 5746at4891           -            500   9.4e-36  120.7  10.0   3   5   0.00038      0.51    6.1   0.0   294   329   434   469   405   499 0.86 -
contig_12:54337-56580  -            748 5746at4891           -            500   9.4e-36  120.7  10.0   4   5   0.00025      0.33    6.7   0.1   370   386   536   552   525   571 0.88 -
contig_12:54337-56580  -            748 5746at4891           -            500   9.4e-36  120.7  10.0   5   5   8.1e-22   1.1e-18   64.4   0.0   402   498   594   699   576   701 0.81 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-52-2022/De_novo_assembly/06_Busco/busco_downloads/lineages/saccharomycetes_odb10/hmms/5746at4891.hmm
# Target file:     /home/inf-52-2022/De_novo_assembly/06_Busco/output/flye.assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/flye.assembly.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-52-2022/De_novo_assembly/06_Busco/output/flye.assembly.fasta/run_saccharomycetes_odb10/hmmer_output/initial_run_results/5746at4891.out --cpu 1 /home/inf-52-2022/De_novo_assembly/06_Busco/busco_downloads/lineages/saccharomycetes_odb10/hmms/5746at4891.hmm /home/inf-52-2022/De_novo_assembly/06_Busco/output/flye.assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/flye.assembly.fasta.modified.fas 
# Current dir:     /home/inf-52-2022/De_novo_assembly/06_Busco
# Date:            Fri Feb 24 09:20:56 2023
# [ok]
