#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_16:1236748-1237647 -            300 17728at4891          -            243  4.3e-131  432.7   0.0   1   1  1.9e-132  4.9e-131  432.4   0.0     2   240     2   264     1   270 0.93 -
contig_38:255382-256254   -            291 17728at4891          -            243   6.9e-65  215.8   0.0   1   1   3.1e-66   8.1e-65  215.6   0.0     1   225     1   248     1   268 0.88 -
contig_5:501098-501982    -            295 17728at4891          -            243   1.8e-62  207.9   0.0   1   1   8.8e-64   2.3e-62  207.6   0.0     3   221     5   244     3   267 0.88 -
contig_5:868468-869409    -            314 17728at4891          -            243   1.2e-56  188.8   6.2   1   2   1.9e-27     5e-26   88.6   6.6     1   135     1   159     1   165 0.84 -
contig_5:868468-869409    -            314 17728at4891          -            243   1.2e-56  188.8   6.2   2   2     2e-29   5.2e-28   95.1   0.0   137   239   179   286   172   292 0.84 -
contig_39:190171-191622   -            484 17728at4891          -            243   1.4e-51  172.3   0.1   1   1   7.1e-53   1.8e-51  171.9   0.1     3   212   170   396   168   429 0.86 -
scaffold_37:351289-352593 -            435 17728at4891          -            243   6.8e-47  156.9   0.0   1   1   3.5e-48   9.1e-47  156.5   0.0     6   240    28   282    23   287 0.87 -
contig_38:610560-611501   -            314 17728at4891          -            243   7.4e-46  153.5   0.3   1   1   2.3e-46   5.8e-45  150.6   0.3     6   205    13   241     8   284 0.83 -
contig_5:675473-676447    -            325 17728at4891          -            243   2.8e-44  148.4   0.7   1   1   3.7e-45   9.6e-44  146.6   0.7     8   206    12   241     5   285 0.79 -
contig_34:166674-167717   -            348 17728at4891          -            243     9e-44  146.7   0.0   1   1     5e-45   1.3e-43  146.2   0.0     4   210    16   251    13   291 0.80 -
scaffold_25:520629-521735 -            369 17728at4891          -            243   6.1e-42  140.7   0.1   1   1   5.6e-43   1.4e-41  139.5   0.1     6   211    23   260    18   270 0.81 -
contig_5:482121-483767    -            549 17728at4891          -            243   2.4e-41  138.7   0.1   1   1   1.7e-42   4.3e-41  137.9   0.1    24   212   181   406   173   440 0.81 -
contig_2:377100-377930    -            277 17728at4891          -            243   2.7e-39  132.0   0.0   1   1   1.3e-40   3.4e-39  131.7   0.0     7   210     1   224     1   260 0.75 -
contig_39:156734-157819   -            362 17728at4891          -            243   1.2e-36  123.4   0.0   1   1   6.6e-38   1.7e-36  122.9   0.0    18   211    34   250    11   287 0.79 -
contig_10:204643-205704   -            354 17728at4891          -            243   4.6e-35  118.2   4.5   1   1   7.2e-35   1.9e-33  112.9   4.5    19   217    57   288    50   292 0.80 -
contig_16:1191458-1192312 -            285 17728at4891          -            243   4.5e-33  111.7   0.0   1   1   2.6e-34   6.6e-33  111.1   0.0     4   239     4   263     1   266 0.77 -
contig_16:111262-113151   -            630 17728at4891          -            243     6e-30  101.4   0.2   1   1   4.1e-31   1.1e-29  100.6   0.2     2   181    53   249    52   264 0.79 -
contig_23:1006466-1007335 -            290 17728at4891          -            243   3.8e-28   95.5   0.0   1   1   3.8e-29   9.9e-28   94.2   0.0    44   208    40   229     2   247 0.80 -
contig_13:271695-272492   -            266 17728at4891          -            243   5.7e-27   91.7   0.8   1   1     3e-28   7.6e-27   91.3   0.8    53   204    24   188     8   204 0.83 -
contig_21:57375-58346     -            324 17728at4891          -            243   1.4e-26   90.3   0.0   1   1   7.8e-28     2e-26   89.9   0.0    16   204    17   226     1   271 0.72 -
contig_10:137014-137931   -            306 17728at4891          -            243   6.4e-26   88.2   0.0   1   1   3.1e-27   7.9e-26   87.9   0.0     7   202    10   225     4   258 0.76 -
contig_23:314461-315282   -            274 17728at4891          -            243   6.8e-25   84.9   0.0   1   1   3.2e-26   8.3e-25   84.6   0.0    20   189    29   212     1   230 0.80 -
contig_23:643244-644101   -            286 17728at4891          -            243   8.5e-25   84.5   0.1   1   1   4.4e-26   1.1e-24   84.2   0.1     4   201     6   216     3   239 0.81 -
contig_5:294113-295033    -            307 17728at4891          -            243   1.5e-24   83.8   0.0   1   1   9.1e-26   2.3e-24   83.1   0.0    21   188    46   227    41   232 0.82 -
contig_4:50981-51697      -            239 17728at4891          -            243   1.6e-24   83.7   0.2   1   1   7.4e-26   1.9e-24   83.4   0.2     7   182     3   190     1   203 0.78 -
contig_34:87040-88758     -            573 17728at4891          -            243   4.5e-24   82.2   0.0   1   1   2.4e-25   6.2e-24   81.7   0.0     9   182   314   497   302   526 0.77 -
contig_16:59705-60733     -            343 17728at4891          -            243   1.1e-23   80.9   0.0   1   1   5.6e-25   1.4e-23   80.5   0.0    35   183    86   247    59   293 0.81 -
contig_5:277376-278116    -            247 17728at4891          -            243   1.5e-23   80.5   0.0   1   1   7.2e-25   1.9e-23   80.2   0.0     5   189     2   194     1   209 0.82 -
contig_10:230417-234844   -           1476 17728at4891          -            243   5.8e-23   78.5   0.1   1   1   3.7e-24   9.5e-23   77.9   0.1     3   176  1177  1374  1175  1386 0.78 -
contig_3:65759-67243      -            495 17728at4891          -            243   1.3e-22   77.4   0.1   1   2   5.2e-19   1.3e-17   61.0   0.2     5   138    10   156     6   161 0.81 -
contig_3:65759-67243      -            495 17728at4891          -            243   1.3e-22   77.4   0.1   2   2    0.0001    0.0026   14.2   0.0   146   181   364   399   354   434 0.89 -
contig_7:79814-80812      -            333 17728at4891          -            243     2e-22   76.8   0.0   1   1   9.8e-24   2.5e-22   76.5   0.0    42   189    62   222    19   262 0.81 -
contig_34:318035-318781   -            249 17728at4891          -            243   3.7e-22   75.9   0.0   1   1   1.8e-23   4.6e-22   75.6   0.0     7   191     3   203     1   223 0.76 -
contig_2:647777-649888    -            704 17728at4891          -            243   2.3e-21   73.3   0.0   1   1   1.5e-22   3.9e-21   72.6   0.0     3   186    84   285    82   308 0.79 -
contig_39:256319-257482   -            388 17728at4891          -            243   3.7e-21   72.6   0.0   1   1   2.4e-22   6.1e-21   71.9   0.0    43   187    86   241    77   280 0.81 -
contig_38:788712-789611   -            300 17728at4891          -            243   5.3e-21   72.1   0.0   1   1   2.7e-22   6.9e-21   71.8   0.0     5   189    14   217    10   226 0.78 -
contig_5:175510-176283    -            258 17728at4891          -            243   1.2e-20   71.0   0.1   1   1   5.9e-22   1.5e-20   70.6   0.1     5   177     9   195     5   210 0.78 -
contig_34:510923-513214   -            764 17728at4891          -            243     4e-20   69.3   0.2   1   1     4e-21     1e-19   67.9   0.0    91   188   457   559   441   595 0.82 -
contig_16:1331426-1332964 -            513 17728at4891          -            243   5.3e-20   68.8   0.4   1   1   3.5e-20     9e-19   64.8   0.4    19   189   213   411   193   432 0.66 -
contig_16:495333-500294   -           1654 17728at4891          -            243   9.9e-20   68.0   6.3   1   3     0.016       0.4    7.0   0.4    87   175   363   469   330   477 0.58 -
contig_16:495333-500294   -           1654 17728at4891          -            243   9.9e-20   68.0   6.3   2   3         7   1.8e+02   -1.7   0.0     8    59   601   653   597   657 0.69 -
contig_16:495333-500294   -           1654 17728at4891          -            243   9.9e-20   68.0   6.3   3   3   7.6e-17   1.9e-15   53.9   0.1    94   190   812   926   795   935 0.82 -
contig_4:95815-96606      -            264 17728at4891          -            243   1.4e-19   67.5   0.4   1   1   8.8e-21   2.3e-19   66.8   0.4     5   179     9   210     5   253 0.73 -
contig_16:1223595-1225133 -            513 17728at4891          -            243   1.8e-19   67.1   1.6   1   1   2.9e-19   7.5e-18   61.8   1.6     4   175   203   414   200   424 0.74 -
contig_5:165567-166649    -            361 17728at4891          -            243   1.9e-19   67.0   0.1   1   1   9.8e-21   2.5e-19   66.6   0.1     4   180   106   298   103   325 0.83 -
contig_7:256919-260728    -           1270 17728at4891          -            243   2.4e-19   66.7   0.4   1   2   1.6e-16   4.2e-15   52.8   0.3     3   142   982  1134   980  1141 0.76 -
contig_7:256919-260728    -           1270 17728at4891          -            243   2.4e-19   66.7   0.4   2   2   0.00061     0.016   11.6   0.0   128   176  1142  1192  1135  1206 0.85 -
contig_5:296645-297460    -            272 17728at4891          -            243   2.8e-19   66.5   0.0   1   1   1.9e-20   4.9e-19   65.7   0.0    20   176    26   198     9   220 0.75 -
